identifier,journal initials,publication year
Yanetal2018,GRL,2018
Seguinotetal2018,TC,2018
Dickensetal2018,other,2018
Kingslakeetal2018,N,2018
Nielsenetal2018,JG,2018
Collonietal2018,NC,2018
Reeseetal2018,TC,2018
Zhangetal2017,other,2017
StuhnePeltier2017,JGRES,2017
Habermannetal2017,JG,2017
FeldmannLevermann2017,TC,2017
Pittardetal2017,GRL,2017
Golledgeetal2017CP,CP,2017
Jouvetetal2017,JG,2017
Golledgeetal2017,GRL,2017
Dickensetal2016,other,2016
Fogwilletal2017,SR,2017
Macgregoretal2016,JGRES,2016
Weikusatetal2016,PTRSA,2016
Bakkeretal2016,N,2017
Pittardetal2016AG,AG,2016
Fogwilletal2016,other,2016
RobelTziperman2016,JGRES,2016
Beckeretal2016,other,2016
FeldmannLevermann2016,TC,2016
Aitkenetal2016,N,2016
Bartetal2016,GPC,2016
Pittardetal2016,GRL,2016
Ziemenetal2016,JG,2016
Mureseanetal2016,TC,2016
Seguinotetal2016,TC,2016
Clarketal2016,NCC,2016
Yanetal2016,JGRA,2016
Aschwandenetal2016,NC,2016
Frieleretal2016,ESD,2016
MengelFeldmannLevermann2016,NCC,2016
Dickens2015,other,2015
StuhnePeltier2015,JGRES,2015
FeldmanLevermann2015,PNAS,2015
Golledgeetal2015,N,2015
Winkelmannetal2015,SA,2015
deBoeretal2015,TC,2015
BuelervanPelt2015,GMD,2015
FeldmannLevermann2015,TC,2015
Frieleretal2015,NCC,2015
Fogwilletal2014b,AS,2014
Golledge2014,AS,2014
Ziemenetal2014,CP,2014
Golledgeetal2014,NC,2014
Adalgeirsdottiretal2014,JG,2014
Levermannetal2014,ESD,2014
Fogwilletal2014a,JQS,2014
Seguinotetal2014,TC,2014
Fischeretal2014,GMD,2014
AlbrechtLevermann2014softening,TC,2014
MengelLevermann2014,NCC,2014
AlbrechtLevermann2014,EPSL,2014
Rosieretal2014,JGRO,2014
Feldmanetal2014,JG,2014
HabermanTrufferMaxwell2013,TC,2013
Rodehackeetal2013,GRL,2013
Golledgeetal2013,QSR,2013
WinkelmannLevermann2013,CD,2013
Solgaardetal2013,other,2013
vanPeltetal2013,TC,2013
AschwandenAdalgeirsdottirKhroulev2013,TC,2013
DickensMorey2013,other,2013
Pattyn2013MISMIP3D,JG,2013
Nowicki2013AntarcticaSeaRISE,JGRES,2013
Nowicki2013GreenlandSeaRISE,JGRES,2013
Bindshadler2013SeaRISE,JG,2013
Winkelmannetal2012-nature,N,2012
SolgaardLangen2012,CD,2012
vanPeltOerlemans2012,JG,2012
MISMIP2012,TC,2012
LangenSolgaardHvidberg2012,GRL,2012
Gollegeetal2012,QSR,2012
Golledgeetal2012AntLGM,PNAS,2012
Levermannetal2012,TC,2012
AlbrechtLevermann2012,JG,2012
AschwandenBuelerKhroulevBlatter,JG,2012
Winkelmannetal2011,TC,2011
Sorensenetal2011,TC,2011
Solgaardetal2011,JG,2011
Martinetal2011,TC,2011
Albrechtetal2011,TC,2011
Levermann2011,N,2011
Calov2010HEINO,JG,2010
BBssasliding,JGRES,2009
BLKfastearth,AG,2007
BBL,JG,2007

